geo_id,source_id,lby_reliable
LBY_000681,MI-193,Reliable
LBY_000682,MI-108,Reliable
LBY_000683,AJ-047,Reliable
LBY_000684,MU-049,Reliable
LBY_000685,GM-223,Reliable
LBY_000686,GM-106,Reliable
LBY_000687,TR-319,Reliable
LBY_000688,MA-038,Reliable
LBY_000689,TU-039,Reliable
LBY_000690,TR-500,Reliable
LBY_000691,AJ-007,Reliable
LBY_000692,MI-522,Reliable
LBY_000693,MI-225,Reliable
LBY_000694,ZA-086,Reliable
LBY_000695,MO-107,Reliable
LBY_000696,MO-060,Reliable
LBY_000697,AJ-008,Reliable
LBY_000698,DA-008,Reliable
LBY_000699,MI-142,Reliable
LBY_000700,DA-020,Reliable
LBY_000701,DA-141,Reliable
LBY_000702,BI-130,Reliable
LBY_000703,KU-237,Reliable
LBY_000704,TR-147,Reliable
LBY_000705,MI-432,Reliable
LBY_000706,MI-235,Reliable
LBY_000707,WM-056,Reliable
LBY_000708,DA-076,Reliable
LBY_000709,SA-078,Reliable
LBY_000710,SA-003,Reliable
LBY_000711,JU-018,Reliable
LBY_000712,TR-281,Unrelaible
LBY_000713,AJ-023,Reliable
LBY_000714,MI-244,Unrelaible
LBY_000715,TR-399,Reliable
LBY_000716,WM-098,Reliable
LBY_000717,MI-030,Reliable
LBY_000718,JA-210,Reliable
LBY_000719,WM-058,Reliable
LBY_000720,TR-291,Reliable
LBY_000721,MI-306,Unrelaible
LBY_000722,KU-155,Reliable
LBY_000723,TR-352,Reliable
LBY_000724,MI-339,Reliable
LBY_000725,TR-192,Reliable
LBY_000726,NA-106,Reliable
LBY_000727,JU-004,Reliable
LBY_000728,SI-004,Reliable
LBY_000729,TR-283,Reliable
LBY_000730,MI-010,Reliable
LBY_000731,MI-490,Reliable
LBY_000732,WH-041,Reliable
LBY_000733,WM-057,Reliable
LBY_000734,KU-025,Reliable
LBY_000735,KU-175,Reliable
LBY_000736,KU-258,Reliable
LBY_000737,MU-271,Reliable
LBY_000738,WS-041,Reliable
LBY_000739,MU-053,Reliable
LBY_000740,KU-232,Reliable
LBY_000741,JA-317,Reliable
LBY_000742,KU-231,Reliable
LBY_000743,WM-162,Reliable
LBY_000744,KU-233,Reliable
LBY_000745,GM-123,Reliable
LBY_000746,KU-071,Reliable
LBY_000747,KU-212,Reliable
LBY_000748,BI-172,Reliable
LBY_000749,BI-486,Reliable
LBY_000750,TR-351,Reliable
LBY_000751,KU-003,Reliable
LBY_000752,TR-387,Reliable
LBY_000753,GM-141,Reliable
LBY_000754,AJ-003,Reliable
LBY_000755,MI-538,Reliable
LBY_000756,WS-026,Reliable
LBY_000757,MI-027,Reliable
LBY_000758,MU-282,Reliable
LBY_000759,DA-051,Reliable
LBY_000760,MU-070,Reliable
LBY_000761,MI-366,Reliable
LBY_000762,BI-196,Reliable
LBY_000763,JA-042,Reliable
LBY_000764,TR-391,Reliable
LBY_000765,KU-070,Reliable
LBY_000766,MU-407,Reliable
LBY_000767,MU-222,Reliable
LBY_000768,WS-004,Reliable
LBY_000769,MI-516,Reliable
LBY_000770,MI-338,Reliable
LBY_000771,TR-307,Reliable
LBY_000772,MI-318,Reliable
LBY_000773,BI-451,Unrelaible
LBY_000773,BI-451,Reliable
LBY_000774,BI-020,Reliable
LBY_000775,DA-061,Reliable
LBY_000776,GM-127,Reliable
LBY_000777,DA-058,Reliable
LBY_000778,MU-127,Reliable
LBY_000779,KU-161,Reliable
LBY_000780,TR-193,Reliable
LBY_000781,WM-416,Reliable
LBY_000782,TR-198,Reliable
LBY_000783,WM-313,Reliable
LBY_000784,SI-007,Reliable
LBY_000785,MI-312,Reliable
LBY_000786,MA-053,Reliable
LBY_000787,MI-341,Reliable
LBY_000788,KO-005,Reliable
LBY_000789,KO-044,Reliable
LBY_000790,JA-059,Reliable
LBY_000791,WM-168,Reliable
LBY_000792,SI-076,Reliable
LBY_000793,MI-249,Reliable
LBY_000794,KU-137,Reliable
LBY_000795,WH-006,Reliable
LBY_000796,GM-013,Reliable
LBY_000797,WS-075,Reliable
LBY_000798,GM-189,Reliable
LBY_000799,SA-024,Reliable
LBY_000800,TU-036,Reliable
LBY_000801,TU-137,Reliable
LBY_000802,GA-018,Reliable
LBY_000803,MI-077,Reliable
LBY_000804,WM-363,Reliable
LBY_000805,MU-148,Reliable
LBY_000806,MU-307,Reliable
LBY_000807,TR-388,Reliable
LBY_000808,DA-117,Reliable
LBY_000809,TR-492,Reliable
LBY_000810,MI-418,Reliable
LBY_000811,JA-006,Reliable
