geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library
MEX_016751,2013,1.0,,0,1,,1,1,,1,
MEX_118325,2013,1.0,,0,1,,1,1,,1,
MEX_004285,2013,,,0,1,,1,1,,1,
MEX_091187,2013,1.0,,0,1,,1,0,,1,
MEX_096870,2013,1.0,,0,1,,1,1,,1,
MEX_077714,2013,1.0,,1,1,,1,1,,1,
MEX_121173,2013,1.0,,0,1,,1,0,,1,
MEX_003307,2013,1.0,,1,1,,1,0,,1,
MEX_052269,2013,,,1,1,,1,0,,1,
MEX_095470,2013,1.0,,0,1,,1,0,,0,
MEX_106642,2013,1.0,,0,1,,1,0,,1,
MEX_078759,2013,1.0,,1,1,,1,0,,1,
MEX_008950,2013,1.0,,1,1,,1,1,,1,
MEX_051600,2013,1.0,,0,1,,1,1,,1,
MEX_126986,2013,1.0,,1,1,,1,1,,1,
MEX_064322,2013,1.0,,0,1,,1,0,,1,
MEX_074147,2013,,,1,1,,1,0,,1,
MEX_083489,2013,1.0,,0,1,,1,0,,1,
MEX_085990,2013,1.0,,1,1,,1,1,,1,
MEX_056317,2013,,,0,1,,1,1,,1,
MEX_087296,2013,,,0,1,,1,0,,0,
MEX_088786,2013,1.0,,0,1,,1,0,,1,
MEX_084748,2013,1.0,,1,1,,1,0,,1,
MEX_012058,2013,1.0,,0,1,,1,1,,1,
MEX_112453,2013,1.0,,1,1,,1,1,,1,
MEX_043478,2013,,,0,1,,1,0,,0,
MEX_007519,2013,1.0,,0,1,,1,1,,1,
MEX_102259,2013,1.0,,0,1,,1,1,,1,
MEX_090188,2013,,,0,1,,1,0,,1,
MEX_089063,2013,1.0,,1,1,,1,1,,1,
MEX_104003,2013,1.0,,1,1,,1,0,,1,
MEX_102015,2013,1.0,,1,1,,1,1,,1,
MEX_011549,2013,1.0,,1,1,,1,1,,1,
MEX_003982,2013,1.0,,0,1,,1,0,,1,
MEX_053637,2013,1.0,,0,1,,1,0,,1,
MEX_126245,2013,,,0,1,,1,1,,1,
MEX_058837,2013,1.0,,0,1,,1,0,,1,
MEX_097875,2013,1.0,,1,1,,1,1,,1,
MEX_126255,2013,1.0,,1,1,,1,1,,1,
MEX_115975,2013,1.0,,1,0,,1,1,,1,
MEX_126136,2013,1.0,,1,1,,1,1,,1,
MEX_102373,2013,1.0,,1,1,,1,1,,1,
MEX_072321,2013,1.0,,1,1,,1,1,,1,
MEX_029104,2013,1.0,,1,1,,1,0,,1,
MEX_113306,2013,1.0,,1,1,,1,1,,1,
MEX_059730,2013,1.0,,0,1,,1,0,,1,
MEX_126249,2013,1.0,,1,1,,1,1,,1,
MEX_004291,2013,1.0,,1,1,,1,0,,1,
MEX_072649,2013,1.0,,0,1,,1,0,,1,
MEX_001061,2013,1.0,,0,0,,1,0,,1,
MEX_112485,2013,1.0,,0,1,,1,1,,1,
MEX_082153,2013,1.0,,1,1,,1,0,,1,
MEX_053606,2013,1.0,,0,0,,1,0,,0,
MEX_040667,2013,1.0,,1,1,,1,0,,1,
MEX_101381,2013,1.0,,0,1,,1,1,,1,
MEX_082557,2013,,,1,1,,1,1,,1,
MEX_060834,2013,,,0,0,,1,0,,0,
MEX_004600,2013,1.0,,0,1,,1,0,,1,
MEX_063462,2013,1.0,,0,1,,1,1,,1,
MEX_009129,2013,1.0,,1,1,,1,1,,1,
MEX_145994,2013,,,1,1,,1,1,,1,
MEX_145319,2013,1.0,,0,0,,1,0,,1,
MEX_046143,2013,,,0,1,,1,0,,1,
MEX_056180,2013,1.0,,1,1,,1,0,,1,
MEX_066106,2013,1.0,,0,1,,1,0,,0,
MEX_096316,2013,1.0,,1,1,,0,0,,1,
MEX_085454,2013,1.0,,0,1,,1,0,,1,
MEX_063125,2013,1.0,,1,1,,1,0,,1,
MEX_053675,2013,1.0,,1,1,,1,0,,1,
MEX_008626,2013,1.0,,0,1,,1,1,,1,
MEX_042084,2013,1.0,,0,1,,1,1,,1,
MEX_006130,2013,1.0,,0,1,,1,0,,1,
MEX_150729,2013,,,1,1,,1,1,,0,
MEX_090428,2013,1.0,,1,1,,1,1,,1,
MEX_052292,2013,,,0,1,,1,0,,1,
MEX_064857,2013,,,0,1,,1,0,,0,
MEX_091865,2013,,,1,1,,1,1,,1,
MEX_100061,2013,1.0,,0,1,,1,0,,1,
MEX_117803,2013,1.0,,0,0,,1,1,,1,
MEX_102757,2013,1.0,,0,1,,1,1,,1,
MEX_004159,2013,1.0,,1,1,,1,1,,1,
MEX_028422,2013,1.0,,1,1,,1,0,,1,
MEX_102838,2013,1.0,,1,1,,1,0,,1,
MEX_093056,2013,1.0,,0,1,,1,0,,1,
MEX_005250,2013,1.0,,0,1,,1,0,,0,
MEX_059239,2013,1.0,,0,1,,1,0,,0,
MEX_014473,2013,1.0,,1,1,,1,0,,0,
MEX_007868,2013,1.0,,0,1,,1,1,,1,
MEX_057548,2013,1.0,,0,1,,1,0,,1,
MEX_068378,2013,1.0,,1,1,,1,0,,0,
MEX_102840,2013,1.0,,0,1,,1,1,,1,
MEX_107259,2013,1.0,,1,1,,1,1,,1,
MEX_042584,2013,1.0,,0,1,,1,0,,0,
MEX_077197,2013,1.0,,0,1,,1,0,,1,
MEX_057039,2013,1.0,,0,0,,1,1,,1,
MEX_049691,2013,1.0,,1,1,,1,1,,1,
MEX_081104,2013,1.0,,1,1,,1,0,,1,
MEX_115869,2013,,,0,1,,1,0,,0,
MEX_151063,2013,1.0,,1,1,,1,1,,1,
MEX_043122,2013,1.0,,0,0,,1,1,,1,
MEX_101232,2013,1.0,,0,1,,1,0,,1,
MEX_096462,2013,,,0,1,,1,0,,1,
MEX_072172,2013,1.0,,0,1,,1,0,,1,
MEX_000483,2013,1.0,,0,1,,1,1,,1,
MEX_118274,2013,,,0,1,,1,0,,0,
MEX_000680,2013,1.0,,1,1,,1,0,,0,
MEX_068724,2013,1.0,,0,1,,1,0,,1,
MEX_028578,2013,1.0,,1,1,,1,1,,1,
MEX_095073,2013,1.0,,1,1,,1,1,,1,
MEX_113915,2013,1.0,,1,1,,1,1,,1,
MEX_114038,2013,1.0,,1,1,,1,1,,1,
MEX_056372,2013,1.0,,1,1,,1,1,,1,
MEX_101383,2013,1.0,,1,1,,1,1,,1,
MEX_150601,2013,,,0,1,,1,0,,1,
MEX_013527,2013,1.0,,0,1,,1,0,,1,
MEX_036329,2013,1.0,,1,1,,1,0,,1,
MEX_141458,2013,1.0,,1,1,,1,0,,1,
MEX_062521,2013,1.0,,1,0,,1,0,,1,
MEX_127629,2013,,,0,1,,1,0,,1,
MEX_014965,2013,1.0,,0,1,,0,0,,0,
MEX_073900,2013,1.0,,0,1,,1,0,,1,
MEX_104844,2013,1.0,,1,1,,1,0,,1,
MEX_143463,2013,1.0,,0,1,,1,1,,1,
MEX_104586,2013,,,0,1,,1,0,,0,
MEX_007976,2013,,,0,1,,0,0,,0,
MEX_059461,2013,1.0,,0,1,,1,0,,0,
MEX_070912,2013,1.0,,0,1,,1,1,,1,
MEX_142169,2013,,,0,1,,1,0,,1,
MEX_064548,2013,1.0,,0,1,,1,0,,0,
MEX_114041,2013,1.0,,0,1,,1,0,,1,
MEX_075718,2013,,,0,1,,1,0,,0,
MEX_047820,2013,1.0,,0,1,,1,0,,0,
MEX_014737,2013,1.0,,0,1,,1,0,,1,
MEX_047847,2013,,,0,1,,1,0,,1,
MEX_047849,2013,,,0,1,,1,0,,1,
MEX_000686,2013,1.0,,0,1,,1,0,,0,
MEX_150964,2013,1.0,,1,1,,1,1,,1,
MEX_094065,2013,,,0,1,,1,0,,1,
MEX_075303,2013,1.0,,1,1,,1,0,,1,
MEX_105663,2013,1.0,,1,1,,1,0,,1,
MEX_054183,2013,1.0,,1,1,,1,1,,0,
MEX_107413,2013,1.0,,0,1,,1,1,,1,
MEX_083374,2013,1.0,,0,1,,1,1,,1,
MEX_042648,2013,1.0,,0,1,,1,1,,1,
MEX_047883,2013,1.0,,1,1,,1,0,,1,
MEX_091848,2013,1.0,,0,1,,1,0,,1,
MEX_089658,2013,1.0,,1,1,,1,0,,0,
MEX_149073,2013,,,1,1,,1,0,,1,
MEX_046176,2013,,,0,1,,1,1,,1,
MEX_142114,2013,,,1,1,,1,0,,0,
MEX_143548,2013,1.0,,0,1,,1,0,,1,
MEX_088944,2013,,,0,1,,1,1,,1,
MEX_050302,2013,1.0,,1,1,,1,0,,1,
MEX_128693,2013,,,0,0,,1,0,,1,
MEX_006453,2013,1.0,,0,1,,1,1,,1,
MEX_036596,2013,1.0,,1,1,,1,1,,1,
MEX_066109,2013,,,0,1,,0,0,,0,
MEX_069833,2013,1.0,,0,1,,1,1,,1,
MEX_127574,2013,,,1,1,,1,1,,1,
MEX_063883,2013,1.0,,1,1,,1,1,,1,
MEX_076919,2013,1.0,,0,1,,1,0,,1,
MEX_102438,2013,1.0,,0,0,,1,1,,1,
MEX_126327,2013,1.0,,1,1,,1,1,,1,
MEX_076739,2013,1.0,,0,1,,1,0,,0,
MEX_013074,2013,1.0,,1,1,,1,0,,1,
MEX_126277,2013,1.0,,1,1,,1,1,,1,
MEX_101956,2013,1.0,,1,1,,1,1,,1,
MEX_014253,2013,1.0,,0,1,,1,0,,1,
MEX_046905,2013,1.0,,1,1,,1,1,,1,
MEX_126717,2013,1.0,,1,1,,1,1,,1,
MEX_126737,2013,1.0,,1,1,,1,0,,1,
MEX_085981,2013,1.0,,1,1,,1,1,,1,
MEX_126807,2013,1.0,,1,1,,1,0,,1,
MEX_126911,2013,1.0,,0,1,,1,1,,1,
MEX_055088,2013,1.0,,0,1,,1,1,,1,
MEX_046521,2013,1.0,,0,1,,1,1,,1,
MEX_038229,2013,,,0,1,,1,0,,1,
MEX_075957,2013,1.0,,0,1,,1,0,,0,
MEX_120322,2013,1.0,,1,1,,1,1,,1,
MEX_078253,2013,1.0,,1,1,,1,1,,1,
MEX_099306,2013,1.0,,1,1,,1,1,,1,
MEX_092898,2013,1.0,,1,1,,1,0,,1,
MEX_007793,2013,1.0,,1,1,,1,0,,1,
MEX_009054,2013,,,0,1,,1,1,,1,
MEX_012033,2013,,,1,1,,1,0,,1,
MEX_090551,2013,1.0,,1,1,,1,1,,1,
MEX_017832,2013,1.0,,0,1,,1,1,,1,
MEX_003954,2013,1.0,,0,1,,1,1,,1,
MEX_043199,2013,,,0,1,,1,0,,0,
MEX_059057,2013,1.0,,0,1,,1,0,,0,
MEX_064575,2013,1.0,,0,1,,1,0,,1,
MEX_029209,2013,1.0,,0,1,,1,0,,1,
MEX_151278,2013,1.0,,1,1,,1,1,,1,
MEX_087729,2013,1.0,,1,1,,1,0,,1,
MEX_076858,2013,1.0,,0,0,,1,0,,1,
MEX_058471,2013,1.0,,1,1,,1,1,,1,
MEX_007303,2013,1.0,,1,1,,1,1,,1,
MEX_061629,2013,1.0,,0,1,,1,0,,1,
MEX_112032,2013,1.0,,0,1,,1,1,,1,
MEX_116573,2013,,,0,1,,1,0,,1,
MEX_014751,2013,1.0,,1,1,,1,1,,1,
MEX_071119,2013,,,1,1,,1,0,,0,
MEX_107455,2013,1.0,,0,1,,1,1,,1,
MEX_028864,2013,,,0,1,,1,1,,1,
MEX_038189,2013,,,1,1,,1,0,,1,
MEX_103655,2013,,,0,1,,1,1,,1,
MEX_008432,2013,1.0,,1,1,,1,1,,1,
MEX_112799,2013,,,1,1,,1,0,,1,
MEX_016175,2013,1.0,,0,1,,1,1,,1,
MEX_097474,2013,1.0,,1,1,,1,0,,1,
MEX_068924,2013,1.0,,1,1,,1,1,,1,
MEX_061089,2013,,,1,1,,1,0,,1,
MEX_055245,2013,,,0,1,,1,1,,1,
MEX_047088,2013,1.0,,1,1,,1,1,,1,
MEX_084567,2013,1.0,,0,1,,1,0,,0,
MEX_049182,2013,1.0,,0,1,,1,0,,0,
MEX_103151,2013,,,1,1,,1,0,,1,
MEX_058622,2013,1.0,,1,1,,1,1,,1,
MEX_007820,2013,1.0,,0,1,,1,0,,1,
MEX_140397,2013,1.0,,0,1,,1,1,,1,
MEX_115957,2013,1.0,,1,1,,1,0,,1,
MEX_140808,2013,1.0,,1,1,,1,0,,1,
MEX_115306,2013,1.0,,1,1,,1,1,,1,
MEX_028675,2013,1.0,,0,0,,1,0,,0,
MEX_012709,2013,,,0,0,,1,0,,0,
