geo_id,year,water_basic,water_improved,sanitation_basic,sanitation_sex_separated,handwashing_basic,electricity,internet,internet_type,computers,library,classrooms_total
HND_011726,2011,1,1,,,,0,0,,0,,
HND_000038,2011,1,1,,,,1,0,,1,,
HND_014180,2011,1,1,,,,1,0,,0,,
HND_004354,2011,1,1,,,,0,0,,0,,
HND_011121,2011,1,1,,,,1,0,,0,,
HND_013372,2011,1,1,,,,1,0,,1,,
HND_003769,2011,1,1,,,,1,0,,1,,
HND_015423,2011,,0,,,,0,0,,0,,
HND_009252,2011,1,1,,,,1,0,,1,,
HND_008944,2011,1,1,,,,1,0,,1,,
HND_007576,2011,1,1,,,,1,0,,0,,
HND_014007,2011,1,1,,,,1,0,,1,,
HND_013991,2011,1,1,,,,1,0,,1,,
HND_008641,2011,1,1,,,,1,0,,1,,
HND_009456,2011,1,1,,,,1,0,,1,,
HND_014216,2011,1,0,,,,1,0,,1,,
HND_000405,2011,1,1,,,,1,0,,0,,
HND_004568,2011,1,1,,,,0,0,,0,,
HND_000115,2011,1,1,,,,1,0,,0,,
HND_010398,2011,1,1,,,,1,0,,0,,
HND_001889,2011,1,1,,,,1,0,,0,,
HND_014842,2011,,0,,,,1,0,,0,,
HND_009133,2011,1,1,,,,1,0,,1,,
HND_013257,2011,1,1,,,,0,0,,0,,
HND_008517,2011,1,1,,,,1,0,,1,,
HND_009804,2011,1,1,,,,1,0,,1,,
HND_011882,2011,1,1,,,,1,0,,1,,
HND_010977,2011,1,1,,,,1,0,,1,,
HND_014192,2011,1,1,,,,1,0,,1,,
HND_008905,2011,1,1,,,,1,0,,1,,
HND_004589,2011,,0,,,,0,0,,0,,
HND_011124,2011,1,1,,,,1,0,,0,,
HND_002317,2011,1,1,,,,1,0,,1,,
HND_005849,2011,1,1,,,,1,0,,0,,
HND_004375,2011,1,1,,,,1,0,,0,,
HND_000690,2011,1,1,,,,0,0,,0,,
HND_012502,2011,1,1,,,,1,0,,0,,
HND_007308,2011,1,1,,,,1,0,,0,,
HND_013838,2011,1,0,,,,0,0,,0,,
HND_010035,2011,1,0,,,,1,0,,0,,
HND_006942,2011,1,1,,,,1,0,,0,,
HND_011856,2011,1,1,,,,1,0,,0,,
HND_011679,2011,1,1,,,,1,0,,1,,
HND_010858,2011,1,1,,,,1,0,,1,,
HND_014957,2011,1,1,,,,1,0,,1,,
HND_002019,2011,1,1,,,,0,0,,0,,
HND_005697,2011,1,1,,,,1,0,,0,,
HND_014658,2011,1,1,,,,1,0,,0,,
HND_014659,2011,1,1,,,,1,0,,1,,
HND_002357,2011,1,1,,,,1,0,,0,,
HND_002366,2011,1,1,,,,1,0,,0,,
HND_002297,2011,1,1,,,,1,0,,0,,
HND_012518,2011,1,1,,,,1,0,,0,,
HND_016892,2011,1,1,,,,1,0,,0,,
